"cycle_length_bin","cycle_length_bin_num","cycleday_from_ovu","state","n_cycles","prob_sum","prob"
"(18,21]",2,5,"hM",5879,0.000304230339299395,5.17486544139131e-08
"(18,21]",2,5,"lM",5879,0.279145975756844,4.74818805505773e-05
"(18,21]",2,5,"lE",5879,31.4909330495128,0.00535651183016036
"(18,21]",2,5,"hE",5879,49.4446899613637,0.00841039121642519
"(18,21]",2,5,"O",5879,92.6156820366156,0.0157536455241734
"(18,21]",2,5,"Rise",5879,35.2934039346036,0.00600330055019623
"(18,21]",2,5,"hP",5879,2271.98041271848,0.386456950623998
"(18,21]",2,5,"Ep",5879,1155.18902312568,0.196494135588651
"(18,21]",2,5,"lP",5879,1572.70640496766,0.267512571009978
"(18,21]",2,6,"hM",5879,6.09585544518912e-05,1.0368864509592e-08
"(18,21]",2,6,"lM",5879,0.143449860254701,2.44003844624428e-05
"(18,21]",2,6,"lE",5879,13.2488751351968,0.00225359332117653
"(18,21]",2,6,"hE",5879,21.873998893209,0.0037207006111939
"(18,21]",2,6,"O",5879,45.9487032195439,0.00781573451599658
"(18,21]",2,6,"Rise",5879,16.2311920693225,0.00276087635130508
"(18,21]",2,6,"hP",5879,1720.24947344716,0.292609197728723
"(18,21]",2,6,"Ep",5879,919.636015004925,0.156427286103917
"(18,21]",2,6,"lP",5879,1967.66823141185,0.33469437513384
"(18,21]",2,7,"hM",5879,9.60781197054713e-06,1.63425956294389e-09
"(18,21]",2,7,"lM",5879,0.0520358064116246,8.85113223535033e-06
"(18,21]",2,7,"lE",5879,5.22100472798725,0.000888077007652194
"(18,21]",2,7,"hE",5879,9.44246792151724,0.0016061350436328
"(18,21]",2,7,"O",5879,20.5508667834869,0.00349563986791748
"(18,21]",2,7,"Rise",5879,8.20457436272043,0.00139557311833993
"(18,21]",2,7,"hP",5879,1164.37067274907,0.198055906233896
"(18,21]",2,7,"Ep",5879,651.800682677677,0.110869311562796
"(18,21]",2,7,"lP",5879,2053.35768536333,0.349269890349264
"(18,21]",2,8,"hM",5879,1.71406805191943e-06,2.9155775674765e-10
"(18,21]",2,8,"lM",5879,0.0369754633104975,6.28941372860988e-06
"(18,21]",2,8,"lE",5879,1.67428207851349,0.000284790283809065
"(18,21]",2,8,"hE",5879,4.08966604921541,0.000695639743020141
"(18,21]",2,8,"O",5879,8.91459275862063,0.00151634508566434
"(18,21]",2,8,"Rise",5879,4.48486693087275,0.000762862209707901
"(18,21]",2,8,"hP",5879,730.570563215326,0.124267828408798
"(18,21]",2,8,"Ep",5879,424.349344884904,0.0721805315334078
"(18,21]",2,8,"lP",5879,1722.87970690518,0.293056592431566
"(18,21]",2,9,"hM",5879,1.0000617824013e-07,1.7010746426285e-11
"(18,21]",2,9,"lM",5879,0.0302793378537879,5.15042317635446e-06
"(18,21]",2,9,"lE",5879,0.503301341391807,8.56100257512855e-05
"(18,21]",2,9,"hE",5879,1.38032611121038,0.000234789268788975
"(18,21]",2,9,"O",5879,3.8870184146453,0.000661169997388212
"(18,21]",2,9,"Rise",5879,2.83572287460832,0.000482347826944773
"(18,21]",2,9,"hP",5879,413.971066149513,0.0704152179196315
"(18,21]",2,9,"Ep",5879,250.231269671006,0.0425635770830083
"(18,21]",2,9,"lP",5879,1338.16101599977,0.227617114475212
"(18,21]",2,10,"hM",5879,7.16097834854945e-09,1.21806061380327e-12
"(18,21]",2,10,"lM",5879,0.0104240420736531,1.77309781827745e-06
"(18,21]",2,10,"lE",5879,0.149426903995555,2.54170614042448e-05
"(18,21]",2,10,"hE",5879,0.43402347827665,7.38260721681663e-05
"(18,21]",2,10,"O",5879,1.32003245895532,0.000224533502118612
"(18,21]",2,10,"Rise",5879,2.1411243640392,0.000364198735165709
"(18,21]",2,10,"hP",5879,193.808137416245,0.0329661740799872
"(18,21]",2,10,"Ep",5879,119.845527480077,0.0203853593264292
"(18,21]",2,10,"lP",5879,948.29130384918,0.161301463488549
"(18,21]",2,11,"hM",5879,8.37859176411617e-10,1.42517294848038e-13
"(18,21]",2,11,"lM",5879,3.09423642525607e-08,5.26320194804571e-12
"(18,21]",2,11,"lE",5879,0.0186232864751905,3.16776432644847e-06
"(18,21]",2,11,"hE",5879,0.156014042652043,2.65375136336185e-05
"(18,21]",2,11,"O",5879,0.419237070599379,7.13109492429629e-05
"(18,21]",2,11,"Rise",5879,1.68492017920486,0.000286599792346464
"(18,21]",2,11,"hP",5879,78.0764498758261,0.0132805664017394
"(18,21]",2,11,"Ep",5879,50.1573693822691,0.00853161581600087
"(18,21]",2,11,"lP",5879,534.487386131194,0.0909146770081977
"(18,21]",2,12,"hM",5879,0,0
"(18,21]",2,12,"lM",5879,4.6978042281658e-09,7.99082195639701e-13
"(18,21]",2,12,"lE",5879,0.000118880067769458,2.02211375692224e-08
"(18,21]",2,12,"hE",5879,0.0195082640436179,3.31829631631534e-06
"(18,21]",2,12,"O",5879,0.155010212098265,2.63667651128194e-05
"(18,21]",2,12,"Rise",5879,1.24224044683505,0.000211301317713055
"(18,21]",2,12,"hP",5879,27.1927936520233,0.004625411405345
"(18,21]",2,12,"Ep",5879,17.3794246167716,0.00295618721156176
"(18,21]",2,12,"lP",5879,257.010903923463,0.0437167722271582
"(18,21]",2,13,"hM",5680,0,0
"(18,21]",2,13,"lM",5680,0,0
"(18,21]",2,13,"lE",5680,2.84369825829042e-05,5.00651101811693e-09
"(18,21]",2,13,"hE",5680,0.000306290372660617,5.39243613839114e-08
"(18,21]",2,13,"O",5680,0.019292421453948,3.39655307287818e-06
"(18,21]",2,13,"Rise",5680,0.868639490800745,0.000152929487817033
"(18,21]",2,13,"hP",5680,8.29704317467917,0.00146074703779563
"(18,21]",2,13,"Ep",5680,3.16256884697143,0.000556790289959758
"(18,21]",2,13,"lP",5680,104.65212133874,0.0184246692497781
"(18,21]",2,14,"hM",2688,0,0
"(18,21]",2,14,"lM",2688,0,0
"(18,21]",2,14,"lE",2688,0,0
"(18,21]",2,14,"hE",2688,9.9810071974327e-05,3.71317232047348e-08
"(18,21]",2,14,"O",2688,0.000234917283269195,8.73948226447899e-08
"(18,21]",2,14,"Rise",2688,0.316687515907694,0.000117815296096613
"(18,21]",2,14,"hP",2688,2.36626292973459,0.000880306149454833
"(18,21]",2,14,"Ep",2688,1.09333614260634,0.000406747076862478
"(18,21]",2,14,"lP",2688,22.2233786843962,0.00826762599865928
"(18,21]",2,15,"hM",884,0,0
"(18,21]",2,15,"lM",884,0,0
"(18,21]",2,15,"lE",884,0,0
"(18,21]",2,15,"hE",884,0,0
"(18,21]",2,15,"O",884,9.9810071974327e-05,1.12907321237926e-07
"(18,21]",2,15,"Rise",884,0.0261258482244298,2.95541269507124e-05
"(18,21]",2,15,"hP",884,1.17447221155758,0.00132858847461265
"(18,21]",2,15,"Ep",884,0.315378675782012,0.000356763207898204
"(18,21]",2,15,"lP",884,4.48392345436403,0.0050723115999593
"(18,21]",2,16,"hM",353,0,0
"(18,21]",2,16,"lM",353,0,0
"(18,21]",2,16,"lE",353,0,0
"(18,21]",2,16,"hE",353,0,0
"(18,21]",2,16,"O",353,0,0
"(18,21]",2,16,"Rise",353,0,0
"(18,21]",2,16,"hP",353,0.0361611859333524,0.000102439620207797
"(18,21]",2,16,"Ep",353,0,0
"(18,21]",2,16,"lP",353,1.96383881406666,0.00556328275939564
"(21,24]",3,-22,"hM",2566,3.00000000000009,0.00116913484021827
"(21,24]",3,-22,"lM",2566,0,0
"(21,24]",3,-22,"lE",2566,0,0
"(21,24]",3,-22,"hE",2566,0,0
"(21,24]",3,-22,"O",2566,0,0
"(21,24]",3,-22,"Rise",2566,0,0
"(21,24]",3,-22,"hP",2566,0,0
"(21,24]",3,-22,"Ep",2566,0,0
"(21,24]",3,-22,"lP",2566,0,0
"(21,24]",3,-21,"hM",26787,49.9248125317245,0.00186377020688112
"(21,24]",3,-21,"lM",26787,1.07518746827609,4.01384055055096e-05
"(21,24]",3,-21,"lE",26787,0,0
"(21,24]",3,-21,"hE",26787,0,0
"(21,24]",3,-21,"O",26787,0,0
"(21,24]",3,-21,"Rise",26787,0,0
"(21,24]",3,-21,"hP",26787,0,0
"(21,24]",3,-21,"Ep",26787,0,0
"(21,24]",3,-21,"lP",26787,0,0
"(21,24]",3,-20,"hM",36269,235.40476848564,0.0064905227187306
"(21,24]",3,-20,"lM",36269,17.5951487356038,0.000485129138812864
"(21,24]",3,-20,"lE",36269,8.27787569731189e-05,2.28235564733295e-09
"(21,24]",3,-20,"hE",36269,0,0
"(21,24]",3,-20,"O",36269,0,0
"(21,24]",3,-20,"Rise",36269,0,0
"(21,24]",3,-20,"hP",36269,0,0
"(21,24]",3,-20,"Ep",36269,0,0
"(21,24]",3,-20,"lP",36269,0,0
"(21,24]",3,-19,"hM",36269,562.464200620421,0.0155081254134501
"(21,24]",3,-19,"lM",36269,71.3668536592793,0.00196770943944634
"(21,24]",3,-19,"lE",36269,1.16894003371789,3.22297287964348e-05
"(21,24]",3,-19,"hE",36269,5.68658207412947e-06,1.56789050542597e-10
"(21,24]",3,-19,"O",36269,0,0
"(21,24]",3,-19,"Rise",36269,0,0
"(21,24]",3,-19,"hP",36269,0,0
"(21,24]",3,-19,"Ep",36269,0,0
"(21,24]",3,-19,"lP",36269,0,0
"(21,24]",3,-18,"hM",36269,1045.47717190416,0.0288256409579576
"(21,24]",3,-18,"lM",36269,222.247692508362,0.00612775903687341
"(21,24]",3,-18,"lE",36269,6.38951580171513,0.000176170167407845
"(21,24]",3,-18,"hE",36269,0.885618524883658,2.44180574287589e-05
"(21,24]",3,-18,"O",36269,1.26087783523523e-06,3.47646153804966e-11
"(21,24]",3,-18,"Rise",36269,0,0
"(21,24]",3,-18,"hP",36269,0,0
"(21,24]",3,-18,"Ep",36269,0,0
"(21,24]",3,-18,"lP",36269,0,0
"(21,24]",3,-17,"hM",36269,1856.33228212137,0.0511823397976611
"(21,24]",3,-17,"lM",36269,509.343718009253,0.0140435004551891
"(21,24]",3,-17,"lE",36269,36.2756947503329,0.00100018458601927
"(21,24]",3,-17,"hE",36269,2.0480327148586,5.64678572571232e-05
"(21,24]",3,-17,"O",36269,0.000271143309292702,7.47589702756354e-09
"(21,24]",3,-17,"Rise",36269,2.22010158783995e-07,6.12120981510368e-12
"(21,24]",3,-17,"hP",36269,1.03886767645123e-06,2.86434055653927e-11
"(21,24]",3,-17,"Ep",36269,0,0
"(21,24]",3,-17,"lP",36269,0,0
"(21,24]",3,-16,"hM",36269,3245.80522401849,0.0894925480167219
"(21,24]",3,-16,"lM",36269,986.711483954686,0.0272053677783972
"(21,24]",3,-16,"lE",36269,118.968841573337,0.00328017981122549
"(21,24]",3,-16,"hE",36269,6.50659094030016,0.000179398134503299
"(21,24]",3,-16,"O",36269,0.00758710900787334,2.09189914468922e-07
"(21,24]",3,-16,"Rise",36269,4.08306506107791e-05,1.12577271528796e-09
"(21,24]",3,-16,"hP",36269,0.000231487233020861,6.38250938875793e-09
"(21,24]",3,-16,"Ep",36269,8.63024230109862e-08,2.37950930577039e-12
"(21,24]",3,-16,"lP",36269,1.07328685171602e-12,2.95924026500874e-17
"(21,24]",3,-15,"hM",36269,6671.18899991147,0.183936391957635
"(21,24]",3,-15,"lM",36269,1710.91929304857,0.0471730484173417
"(21,24]",3,-15,"lE",36269,312.556455881441,0.00861773017953186
"(21,24]",3,-15,"hE",36269,20.2616180370716,0.000558648378424319
"(21,24]",3,-15,"O",36269,0.0657736082667819,1.81349384506829e-06
"(21,24]",3,-15,"Rise",36269,0.000955101258135182,2.6333818361002e-08
"(21,24]",3,-15,"hP",36269,0.00681740293020168,1.87967766693366e-07
"(21,24]",3,-15,"Ep",36269,4.43179809505715e-05,1.22192453474238e-09
"(21,24]",3,-15,"lP",36269,4.26910257138777e-05,1.17706652275711e-09
"(21,24]",3,-14,"hM",36269,10342.8977360852,0.285171847475396
"(21,24]",3,-14,"lM",36269,3079.50727318643,0.0849074215772816
"(21,24]",3,-14,"lE",36269,650.470509390868,0.0179346138407695
"(21,24]",3,-14,"hE",36269,57.650616178736,0.00158952869333966
"(21,24]",3,-14,"O",36269,0.40023203733791,1.10350998742152e-05
"(21,24]",3,-14,"Rise",36269,0.0107287664234466,2.9581092457599e-07
"(21,24]",3,-14,"hP",36269,0.0603242377881094,1.6632451346359e-06
"(21,24]",3,-14,"Ep",36269,0.00146079260083517,4.02766164171929e-08
"(21,24]",3,-14,"lP",36269,0.0011193246493921,3.08617455510795e-08
"(21,24]",3,-13,"hM",36269,13340.1582829556,0.36781158242454
"(21,24]",3,-13,"lM",36269,5536.35685020777,0.152647077399646
"(21,24]",3,-13,"lE",36269,1247.08300412327,0.0343842676700011
"(21,24]",3,-13,"hE",36269,117.856871951971,0.00324952085670877
"(21,24]",3,-13,"O",36269,1.07112560251888,2.95328132156629e-05
